Provincias,VAB en miles,Porcentaje de aportación al país,Principal sector,Porcentaje de aportación del sector en la provincia 
GUAYAS,34317145.84,29.44,Comercio al por mayor y al por menor-reparación de vehículos automotores y motocicletas,19.93
PICHINCHA,28591085.92,24.52,Comercio al por mayor y al por menor-reparación de vehículos automotores y motocicletas,19.64
ORELLANA,7188656.29,6.17,Extracción de petróleo crudo y gas natural,63.72
AZUAY,4883904.17,4.19,Comercio al por mayor y al por menor-reparación de vehículos automotores y motocicletas,20.18
MANABI,5383568.19,4.62,Comercio al por mayor y al por menor-reparación de vehículos automotores y motocicletas,19.25
SUCUMBIOS,3874759.44,3.32,Extracción de petróleo crudo y gas natural,54.51
EL ORO,3706088.71,3.18,Comercio al por mayor y al por menor-reparación de vehículos automotores y motocicletas,23.97
LOS RIOS,3437848.45,2.95,Extracción de minerales metalíferos,24.57
TUNGURAHUA,2603365.54,2.23,Comercio al por mayor y al por menor-reparación de vehículos automotores y motocicletas,20.90
SANTO DOMINGO,1925280.49,1.65,Comercio al por mayor y al por menor-reparación de vehículos automotores y motocicletas,25.33
ESMERALDAS,1910835.13,1.64,Fabricación de productos refinados de petróleo y de otros,22.24
COTOPAXI,1739835.6,1.49,Administración pública y defensa- planes de seguridad social de afiliación obligatoria,12.56
LOJA,1657629.48,1.42,Administración pública y defensa- planes de seguridad social de afiliación obligatoria,18.41
ZAMORA CHINCHIPE,1617819.53,1.39,Extracción de minerales metalíferos,73.85
IMBABURA,1470356,1.26,Comercio al por mayor y al por menor-reparación de vehículos automotores y motocicletas,18.68
CHIMBORAZO,1241715.44,1.07,Comercio al por mayor y al por menor-reparación de vehículos automotores y motocicletas,16.26
SANTA ELENA,1204475.08,1.03,Comercio al por mayor y al por menor-reparación de vehículos automotores y motocicletas,16.54
PASTAZA,1112244.62,0.95,Extracción de petróleo crudo y gas natural,50.04
CAÑAR,809849.26,0.69,Administración pública y defensa- planes de seguridad social de afiliación obligatoria,18.40
CARCHI,595048.77,0.51,Cultivo de hortalizas y melones, raíces y tubérculos,18.73
MORONA SANTIAGO,503269.03,0.43,Administración pública y defensa- planes de seguridad social de afiliación obligatoria,41.42
NAPO,506389.78,0.43,Suministro de electricidad, gas, vapor y aire acondicionado,24.37
BOLIVAR,465260.2,0.40,Administración pública y defensa- planes de seguridad social de afiliación obligatoria,18.75
GALAPAGOS,231873.05,0.20,Administración pública y defensa- planes de seguridad social de afiliación obligatoria,23.46
VALOR AGREGADO BRUTO TOTAL,110978304.01,,,
